region,ics,trust_code,trust_name,hosp_code,hosp_name,country,mortality_denom_N,died30_n,died30_perc,died90_n,died90_perc,died30hospcount_reason_N,COD30_diag_code_highest_diag_1,COD30_diag_code_highest_diag_2,COD30_diag_code_highest_diag_3,COD30diagcount_highest_diag_1,COD30diagcount_highest_diag_2,COD30diagcount_highest_diag_3,CODdiag30perc_highest_diag_1,CODdiag30perc_highest_diag_2,CODdiag30perc_highest_diag_3,died90hospcount_reason_N,COD90_diag_code_highest_diag_1,COD90_diag_code_highest_diag_2,COD90_diag_code_highest_diag_3,COD90diagcount_highest_diag_1,COD90diagcount_highest_diag_2,COD90diagcount_highest_diag_3,CODdiag90perc_highest_diag_1,CODdiag90perc_highest_diag_2,CODdiag90perc_highest_diag_3,readmitted30_N,readmitted30_No_n,readmitted30_No_perc,readmitted30_Yes_n,readmitted30_Yes_perc,readmitted90_N,readmitted90_No_n,readmitted90_No_perc,readmitted90_Yes_n,readmitted90_Yes_perc,read30hospcount_reason_N,readmiss30_diag_code_highest_diag_1,readmiss30_diag_code_highest_diag_2,readmiss30_diag_code_highest_diag_3,readmiss30diagcount_highest_diag_1,readmiss30diagcount_highest_diag_2,readmiss30diagcount_highest_diag_3,readmissdiag30perc_highest_diag_1,readmissdiag30perc_highest_diag_2,readmissdiag30perc_highest_diag_3,read90hospcount_reason_N,readmiss90_diag_code_highest_diag_1,readmiss90_diag_code_highest_diag_2,readmiss90_diag_code_highest_diag_3,readmiss90diagcount_highest_diag_1,readmiss90diagcount_highest_diag_2,readmiss90diagcount_highest_diag_3,readmissdiag90perc_highest_diag_1,readmissdiag90perc_highest_diag_2,readmissdiag90perc_highest_diag_3,age_N,age_median,age_lo.quart,age_hi.quart,gender_N,gender_Male_n,gender_Male_perc,gender_Female_n,gender_Female_perc,gender_Transgender_n,gender_Transgender_perc,gender_Other_n,gender_Other_perc,gender_Not_recorded/Preferred_not_to_say_n,gender_Not_recorded/Preferred_not_to_say_perc,IMD_quintile_all_N,IMD_quintile_all_1_n,IMD_quintile_all_1_perc,IMD_quintile_all_2_n,IMD_quintile_all_2_perc,IMD_quintile_all_3_n,IMD_quintile_all_3_perc,IMD_quintile_all_4_n,IMD_quintile_all_4_perc,IMD_quintile_all_5_n,IMD_quintile_all_5_perc,IMD_quintile_all_Missing_n,IMD_quintile_all_Missing_perc,CCIweightedcat_N,CCIweightedcat_0-1_n,CCIweightedcat_0-1_perc,CCIweightedcat_2_n,CCIweightedcat_2_perc,CCIweightedcat_3_n,CCIweightedcat_3_perc,CCIweightedcat_4_n,CCIweightedcat_4_perc,CCIweightedcat_5_n,CCIweightedcat_5_perc,CCIweightedcat_6_n,CCIweightedcat_6_perc,CCIweightedcat_7+_n,CCIweightedcat_7+_perc
East of England ,"Bedfordshire, Luton and Milton Keynes ",RC1,Bedfordshire Hospitals NHS Foundation Trust,BED,Bedford Hospital,England,307,15,4.9,33,10.7,15,J44,C34,C66,9,<5,<5,60,-,-,33,J44,C34,C22,21,<5,<5,63.6,-,-,298,233,78.2,65,21.8,298,162,54.4,136,45.6,72,J44,J18,C78,35,11,<5,48.6,15.3,-,216,J44,J18,R29,102,31,7,47.2,14.4,3.2,307,74,66,81,307,152,49.5,155,50.5,0,0,0,0,0,0,307,44,14.3,38,12.4,64,20.8,79,25.7,78,25.4,<5,-,307,190,61.9,20,6.5,71,23.1,12,3.9,5,1.6,<5,-,7,2.3
East of England ,"Bedfordshire, Luton and Milton Keynes ",RC9,Bedfordshire Hospitals NHS Foundation Trust,LDH,Luton & Dunstable Hospital,England,660,58,8.8,101,15.3,58,J44,I21,C34,30,6,5,51.7,10.3,8.6,101,J44,C34,I21,52,11,7,51.5,10.9,6.9,619,464,75,155,25,619,351,56.7,268,43.3,185,J44,J18,R06,57,34,7,30.8,18.4,3.8,504,J44,J18,R06,158,85,14,31.3,16.9,2.8,660,74,65,81,660,326,49.4,333,50.5,0,0,0,0,<5,-,660,145,22,168,25.5,149,22.6,99,15,93,14.1,6,0.9,660,450,68.2,48,7.3,115,17.4,24,3.6,12,1.8,0,0,11,1.7
East of England ,"Bedfordshire, Luton and Milton Keynes ",RD8,Milton Keynes University Hospital NHS Foundation Trust,MKH,Milton Keynes General Hospital,England,457,29,6.3,61,13.3,29,J44,I25,J43,18,<5,<5,62.1,-,-,61,J44,C34,I25,41,<5,<5,67.2,-,-,442,329,74.4,113,25.6,442,230,52,212,48,136,J44,J18,J96,53,14,7,39,10.3,5.1,354,J44,J18,R06,132,32,23,37.3,9,6.5,457,74,67,80,457,222,48.6,235,51.4,0,0,0,0,0,0,457,72,15.8,98,21.4,86,18.8,139,30.4,56,12.3,6,1.3,457,320,70,18,3.9,88,19.3,16,3.5,9,2,<5,-,<5,-
East of England ,Cambridgeshire and Peterborough ,RGT,Cambridge University Hospitals NHS Foundation Trust,ADD,Addenbrooke's Hospital,England,797,33,4.1,88,11,33,J44,I25,I26,13,<5,<5,39.4,-,-,88,J44,I25,J18,36,7,<5,40.9,8,-,781,588,75.3,193,24.7,781,437,56,344,44,271,J44,J18,N18,74,29,24,27.3,10.7,8.9,693,J44,N18,J18,189,76,60,27.3,11,8.7,797,74,68,81,797,402,50.4,395,49.6,0,0,0,0,0,0,797,14,1.8,97,12.2,230,28.9,213,26.7,235,29.5,8,1,797,486,61,74,9.3,144,18.1,48,6,28,3.5,10,1.3,7,0.9
East of England ,Cambridgeshire and Peterborough ,RGN,North West Anglia NHS Foundation Trust,HIN,Hinchingbrooke Hospital,England,425,29,6.8,58,13.6,29,J44,F03,C15,20,<5,<5,69,-,-,58,J44,C34,I25,32,<5,<5,55.2,-,-,408,285,69.9,123,30.1,408,226,55.4,182,44.6,167,J44,J18,N18,55,22,13,32.9,13.2,7.8,346,J44,J18,N18,105,37,36,30.3,10.7,10.4,425,75,68,82,425,177,41.6,248,58.4,0,0,0,0,0,0,425,20,4.7,73,17.2,133,31.3,107,25.2,89,20.9,<5,-,425,279,65.6,38,8.9,71,16.7,18,4.2,13,3.1,<5,-,5,1.2
East of England ,Cambridgeshire and Peterborough ,RGN,North West Anglia NHS Foundation Trust,PET,Peterborough City Hospital,England,898,80,8.9,126,14,80,J44,J84,I21,46,<5,<5,57.5,-,-,126,J44,J84,C34,63,5,<5,50,4,-,853,655,76.8,198,23.2,853,490,57.4,363,42.6,250,J44,J18,R06,105,17,8,42,6.8,3.2,635,J44,J18,R06,236,44,17,37.2,6.9,2.7,898,74,66,81,898,460,51.2,438,48.8,0,0,0,0,0,0,898,260,29,170,18.9,177,19.7,163,18.2,126,14,<5,-,898,511,56.9,93,10.4,180,20,59,6.6,25,2.8,11,1.2,19,2.1
East of England ,Hertfordshire and West Essex,RWH,East and North Hertfordshire NHS Trust,LIS,Lister Hospital,England,660,46,7,87,13.2,46,J44,C34,F03,35,<5,<5,76.1,-,-,87,J44,C34,I25,55,6,5,63.2,6.9,5.7,633,462,73,171,27,633,339,53.6,294,46.4,212,J44,J18,C34,83,42,5,39.2,19.8,2.4,549,J44,J18,C34,193,96,17,35.2,17.5,3.1,660,74,67,82,660,305,46.2,354,53.6,<5,-,0,0,0,0,660,20,3,155,23.5,212,32.1,130,19.7,140,21.2,<5,-,660,400,60.6,52,7.9,129,19.5,43,6.5,15,2.3,7,1.1,14,2.1
East of England ,Hertfordshire and West Essex,RQW,The Princess Alexandra Hospital NHS Trust,PAH,Princess Alexandra Hospital,England,266,17,6.4,34,12.8,17,J44,F03,I21,10,<5,<5,58.8,-,-,34,J44,F03,I21,20,<5,<5,58.8,-,-,256,183,71.5,73,28.5,256,139,54.3,117,45.7,88,J44,J18,J96,23,14,<5,26.1,15.9,-,194,J44,J18,J96,53,30,8,27.3,15.5,4.1,266,74,69,82,266,123,46.2,143,53.8,0,0,0,0,0,0,266,6,2.3,93,35,70,26.3,58,21.8,39,14.7,0,0,266,165,62,16,6,53,19.9,12,4.5,13,4.9,<5,-,<5,-
East of England ,Hertfordshire and West Essex,RWG,West Hertfordshire Teaching Hospitals NHS Trust,WAT,Watford General Hospital,England,358,16,4.5,46,12.8,16,J44,A16,C34,9,<5,<5,56.2,-,-,46,J44,C34,I21,27,<5,<5,58.7,-,-,352,256,72.7,96,27.3,352,199,56.5,153,43.5,120,J44,J18,R69,49,16,<5,40.8,13.3,-,274,J44,J18,C34,97,34,8,35.4,12.4,2.9,358,74,67,81,358,181,50.6,171,47.8,0,0,0,0,6,1.7,358,10,2.8,65,18.2,99,27.7,87,24.3,92,25.7,5,1.4,358,214,59.8,34,9.5,82,22.9,13,3.6,12,3.4,<5,-,<5,-
East of England ,Mid and South Essex ,RDD,Mid and South Essex NHS Foundation Trust,BAS,Basildon Hospital,England,468,29,6.2,58,12.4,29,J44,C34,C56,23,<5,<5,79.3,-,-,58,J44,C34,J84,43,<5,<5,74.1,-,-,448,347,77.5,101,22.5,448,268,59.8,180,40.2,132,J44,J18,A41,54,16,<5,40.9,12.1,-,316,J44,J18,R69,112,31,9,35.4,9.8,2.8,468,75,68,81,468,210,44.9,258,55.1,0,0,0,0,0,0,468,118,25.2,156,33.3,80,17.1,66,14.1,43,9.2,5,1.1,468,316,67.5,43,9.2,64,13.7,21,4.5,14,3,0,0,10,2.1
East of England ,Mid and South Essex ,RAJ,Mid and South Essex NHS Foundation Trust,SEH,Southend Hospital,England,871,66,7.6,130,14.9,66,J44,C34,I25,40,<5,<5,60.6,-,-,130,J44,C34,I25,77,7,6,59.2,5.4,4.6,840,629,74.9,211,25.1,840,473,56.3,367,43.7,289,J44,J18,K91,112,29,11,38.8,10,3.8,694,J44,J18,K91,255,73,23,36.7,10.5,3.3,871,75,67,81,871,408,46.8,460,52.8,0,0,0,0,<5,-,871,198,22.7,179,20.6,165,18.9,154,17.7,162,18.6,13,1.5,871,524,60.2,80,9.2,176,20.2,43,4.9,25,2.9,8,0.9,15,1.7
East of England ,Norfolk and Waveney Partnership ,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",QKL,"Queen Elizabeth Hospital, King's Lynn",England,331,22,6.6,37,11.2,22,J44,I25,I26,15,<5,<5,68.2,-,-,37,J44,I25,I26,23,5,<5,62.2,13.5,-,322,240,74.5,82,25.5,322,188,58.4,134,41.6,114,J44,N18,J18,45,25,8,39.5,21.9,7,277,J44,N18,J18,97,76,17,35,27.4,6.1,331,74,65,81,331,152,45.9,175,52.9,0,0,0,0,<5,-,331,71,21.5,132,39.9,101,30.5,14,4.2,6,1.8,7,2.1,331,216,65.3,29,8.8,57,17.2,18,5.4,6,1.8,<5,-,<5,-
East of England ,Norfolk and Waveny Partnership ,RGP,James Paget University Hospitals NHS Foundation Trust,JPH,James Paget Hospital,England,398,24,6,41,10.3,24,J44,C25,C34,17,<5,<5,70.8,-,-,41,J44,C34,G30,28,<5,<5,68.3,-,-,396,316,79.8,80,20.2,396,237,59.8,159,40.2,113,J44,R69,J18,31,18,14,27.4,15.9,12.4,337,J44,R69,J18,91,65,28,27,19.3,8.3,398,74,66,80,398,189,47.5,209,52.5,0,0,0,0,0,0,398,166,41.7,103,25.9,86,21.6,31,7.8,9,2.3,<5,-,398,231,58,47,11.8,76,19.1,24,6,11,2.8,<5,-,6,1.5
East of England ,Norfolk and Waveny Partnership ,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,NOR,Norfolk and Norwich Hospital,England,698,38,5.4,71,10.2,38,J44,J43,I25,22,8,<5,57.9,21.1,-,71,J44,J43,C34,31,17,5,43.7,23.9,7,681,520,76.4,161,23.6,681,389,57.1,292,42.9,221,J44,N18,J43,60,35,23,27.1,15.8,10.4,592,J44,N18,J18,149,105,48,25.2,17.7,8.1,698,74,67,79,698,353,50.6,345,49.4,0,0,0,0,0,0,698,145,20.8,149,21.3,196,28.1,128,18.3,64,9.2,16,2.3,698,469,67.2,60,8.6,107,15.3,31,4.4,16,2.3,<5,-,14,2
East of England ,Suffolk and North East Essex ,RDE,East Suffolk and North Essex NHS Foundation Trust,COL,Colchester General Hospital,England,682,70,10.3,112,16.4,70,J44,I25,J43,53,<5,<5,75.7,-,-,112,J44,C34,I25,72,6,5,64.3,5.4,4.5,640,477,74.5,163,25.5,640,368,57.5,272,42.5,204,J44,J18,J96,94,24,7,46.1,11.8,3.4,462,J44,J18,I50,182,52,13,39.4,11.3,2.8,682,74,68,80,682,338,49.6,344,50.4,0,0,0,0,0,0,682,193,28.3,176,25.8,160,23.5,99,14.5,45,6.6,9,1.3,682,438,64.2,38,5.6,146,21.4,32,4.7,14,2.1,5,0.7,9,1.3
East of England ,Suffolk and North East Essex ,RDE,East Suffolk and North Essex NHS Foundation Trust,IPS,The Ipswich Hospital,England,566,29,5.1,61,10.8,29,J44,B02,C50,20,<5,<5,69,-,-,61,J44,C80,I25,37,<5,<5,60.7,-,-,548,410,74.8,138,25.2,548,302,55.1,246,44.9,174,J44,J18,R29,70,29,<5,40.2,16.7,-,430,J44,J18,C77,172,58,14,40,13.5,3.3,566,73,65,79,566,274,48.4,292,51.6,0,0,0,0,0,0,566,119,21,95,16.8,164,29,109,19.3,74,13.1,5,0.9,566,327,57.8,56,9.9,115,20.3,38,6.7,15,2.7,6,1.1,9,1.6
East of England ,Suffolk and North East Essex ,RGR,West Suffolk NHS Foundation Trust,WSH,West Suffolk Hospital,England,195,16,8.2,23,11.8,16,J44,C64,C80,12,<5,<5,75,-,-,23,J44,C34,C64,15,<5,<5,65.2,-,-,183,127,69.4,56,30.6,183,94,51.4,89,48.6,86,J44,N18,I50,37,11,5,43,12.8,5.8,213,J44,N18,J18,79,36,14,37.1,16.9,6.6,195,75,70,81,195,101,51.8,94,48.2,0,0,0,0,0,0,195,14,7.2,48,24.6,69,35.4,46,23.6,18,9.2,0,0,195,108,55.4,11,5.6,45,23.1,16,8.2,6,3.1,<5,-,6,3.1
London,North Central London Partners in health and care ,RAP,North Middlesex University Hospital NHS Trust,NMH,North Middlesex Hospital,England,133,<5,-,7,5.3,<5,J44,NA,NA,<5,NA,NA,100,NA,NA,7,J44,C85,K65,5,<5,<5,71.4,-,-,133,120,90.2,13,9.8,133,99,74.4,34,25.6,14,J44,C34,C67,<5,<5,<5,-,-,-,47,J44,J18,C34,15,<5,<5,31.9,-,-,133,72,65,81,133,59,44.4,74,55.6,0,0,0,0,0,0,133,65,48.9,40,30.1,14,10.5,10,7.5,<5,-,<5,-,133,89,66.9,15,11.3,19,14.3,6,4.5,<5,-,0,0,<5,-
London,North Central London Partners in health and care ,RAL,Royal Free London NHS Foundation Trust,BNT,Barnet General Hospital,England,331,28,8.5,54,16.3,28,J44,I48,R68,18,<5,<5,64.3,-,-,54,J44,C34,I25,31,<5,<5,57.4,-,-,314,250,79.6,64,20.4,314,187,59.6,127,40.4,78,J44,J18,I50,30,15,5,38.5,19.2,6.4,196,J44,J18,I50,58,33,11,29.6,16.8,5.6,331,75,67,82,331,166,50.2,165,49.8,0,0,0,0,0,0,331,16,4.8,109,32.9,106,32,77,23.3,23,6.9,0,0,331,182,55,33,10,72,21.8,18,5.4,14,4.2,8,2.4,<5,-
London,North Central London Partners in health and care ,RAL,Royal Free London NHS Foundation Trust,RFH,Royal Free Hospital,England,93,<5,-,8,8.6,<5,J44,NA,NA,<5,NA,NA,100,NA,NA,8,J44,C50,I51,6,<5,<5,75,-,-,92,63,68.5,29,31.5,92,38,41.3,54,58.7,36,J44,J18,J10,15,7,<5,41.7,19.4,-,98,J44,J18,J10,40,14,<5,40.8,14.3,-,93,69,64,76,93,49,52.7,44,47.3,0,0,0,0,0,0,93,15,16.1,37,39.8,19,20.4,8,8.6,6,6.5,8,8.6,93,56,60.2,13,14,13,14,6,6.5,<5,-,<5,-,<5,-
London,North Central London Partners in health and care ,RRV,University College London Hospitals NHS Foundation Trust,UCL,University College Hospital,England,180,14,7.8,20,11.1,14,J44,C34,C61,10,<5,<5,71.4,-,-,20,J44,C34,C61,14,<5,<5,70,-,-,171,109,63.7,62,36.3,171,68,39.8,103,60.2,86,J44,J18,N18,26,12,8,30.2,14,9.3,237,J44,N18,J18,79,26,17,33.3,11,7.2,180,72,62,79,180,85,47.2,95,52.8,0,0,0,0,0,0,180,44,24.4,74,41.1,40,22.2,13,7.2,5,2.8,<5,-,180,113,62.8,18,10,31,17.2,8,4.4,<5,-,0,0,6,3.3
London,North Central London Partners in health and care ,RKE,Whittington Health NHS Trust,WHT,Whittington Hospital,England,179,5,2.8,13,7.3,5,J44,W84,NA,<5,<5,NA,-,-,NA,13,J44,G93,U07,10,<5,<5,76.9,-,-,175,125,71.4,50,28.6,175,98,56,77,44,61,J44,J18,R06,26,8,<5,42.6,13.1,-,120,J44,J18,R06,49,15,5,40.8,12.5,4.2,179,70,61,77,179,91,50.8,88,49.2,0,0,0,0,0,0,179,67,37.4,68,38,23,12.8,16,8.9,<5,-,<5,-,179,129,72.1,13,7.3,24,13.4,9,5,<5,-,<5,-,0,0
London,North East London Health & Care Partnership ,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",KGG,King George Hospital,England,338,24,7.1,42,12.4,24,J44,C34,I21,18,<5,<5,75,-,-,42,J44,C34,I21,30,<5,<5,71.4,-,-,322,228,70.8,94,29.2,322,172,53.4,150,46.6,124,J44,J18,I50,57,12,<5,46,9.7,-,309,J44,J18,I50,131,39,11,42.4,12.6,3.6,338,74,65,80,338,149,44.1,189,55.9,0,0,0,0,0,0,338,97,28.7,95,28.1,98,29,35,10.4,10,3,<5,-,338,214,63.3,26,7.7,58,17.2,23,6.8,8,2.4,<5,-,5,1.5
London,North East London Health & Care Partnership ,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",OLD,Queens Hospital Romford,England,677,56,8.3,108,16,56,J44,C34,C92,32,<5,<5,57.1,-,-,108,J44,C34,U07,63,6,<5,58.3,5.6,-,640,466,72.8,174,27.2,640,365,57,275,43,217,J44,J18,J96,85,33,7,39.2,15.2,3.2,487,J44,J18,J96,166,64,23,34.1,13.1,4.7,677,73,66,80,677,293,43.3,384,56.7,0,0,0,0,0,0,677,176,26,160,23.6,149,22,124,18.3,60,8.9,8,1.2,677,414,61.2,73,10.8,127,18.8,30,4.4,11,1.6,7,1,15,2.2
London,North East London Health & Care Partnership ,R1H,Barts Health NHS Trust,LON,Royal London Hospital,England,151,9,6,16,10.6,9,J44,C34,J18,6,<5,<5,66.7,-,-,16,J44,C34,C16,9,<5,<5,56.2,-,-,145,102,70.3,43,29.7,145,74,51,71,49,54,J44,J18,R33,25,10,<5,46.3,18.5,-,144,J44,J18,D47,61,23,8,42.4,16,5.6,151,74,65,82,151,70,46.4,81,53.6,0,0,0,0,0,0,151,62,41.1,71,47,11,7.3,6,4,0,0,<5,-,151,71,47,17,11.3,37,24.5,13,8.6,6,4,<5,-,<5,-
London,North East London Health & Care Partnership ,R1H,Barts Health NHS Trust,WHC,Whipps Cross Hospital,England,427,38,8.9,68,15.9,38,J44,C34,F03,26,<5,<5,68.4,-,-,68,J44,C34,I25,42,<5,<5,61.8,-,-,395,288,72.9,107,27.1,395,221,55.9,174,44.1,130,J44,J18,R07,45,16,<5,34.6,12.3,-,308,J44,J18,A41,104,28,8,33.8,9.1,2.6,427,76,68,82,427,226,52.9,200,46.8,0,0,0,0,<5,-,427,73,17.1,178,41.7,84,19.7,53,12.4,35,8.2,<5,-,427,232,54.3,44,10.3,92,21.5,27,6.3,14,3.3,5,1.2,13,3
London,North East London Health & Care Partnership ,RQX,Homerton University Hospital NHS Foundation Trust,HOM,Homerton Hospital,England,265,12,4.5,22,8.3,12,J44,C34,I13,5,<5,<5,41.7,-,-,22,J44,U07,C34,10,<5,<5,45.5,-,-,260,177,68.1,83,31.9,260,121,46.5,139,53.5,121,J44,J18,C18,30,14,7,24.8,11.6,5.8,311,J44,J18,C18,81,25,21,26,8,6.8,265,71,61,79,265,146,55.1,119,44.9,0,0,0,0,0,0,265,145,54.7,107,40.4,10,3.8,<5,-,0,0,<5,-,265,146,55.1,19,7.2,68,25.7,13,4.9,10,3.8,<5,-,7,2.6
London,North West London Integrated Care System,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,WMU,West Middlesex University Hospital,England,496,27,5.4,46,9.3,27,J44,I21,C34,19,<5,<5,70.4,-,-,46,J44,I21,A41,28,<5,<5,60.9,-,-,478,359,75.1,119,24.9,478,277,57.9,201,42.1,153,J44,J18,I63,60,12,<5,39.2,7.8,-,362,J44,J18,R07,135,33,10,37.3,9.1,2.8,496,73,65,79,496,233,47,263,53,0,0,0,0,0,0,496,52,10.5,180,36.3,135,27.2,58,11.7,47,9.5,24,4.8,496,310,62.5,33,6.7,100,20.2,32,6.5,8,1.6,8,1.6,5,1
London,North West London Integrated Care System ,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,WES,Chelsea & Westminster Hospital,England,237,7,3,13,5.5,7,J44,I21,I51,<5,<5,<5,-,-,-,13,J44,C34,C80,6,<5,<5,46.2,-,-,232,159,68.5,73,31.5,232,113,48.7,119,51.3,99,J44,J18,L40,41,8,7,41.4,8.1,7.1,226,J44,J18,J96,88,16,10,38.9,7.1,4.4,237,73,64,80,237,121,51.1,116,48.9,0,0,0,0,0,0,237,36,15.2,65,27.4,74,31.2,49,20.7,10,4.2,<5,-,237,136,57.4,28,11.8,46,19.4,15,6.3,7,3,<5,-,<5,-
London,North West London Integrated Care System ,RYJ,Imperial College Healthcare NHS Trust,CCH,Charing Cross Hospital,England,242,6,2.5,24,9.9,6,J44,C26,C80,<5,<5,<5,-,-,-,24,J44,C34,C26,12,<5,<5,50,-,-,239,173,72.4,66,27.6,239,134,56.1,105,43.9,75,J44,J18,A41,31,11,<5,41.3,14.7,-,174,J44,J18,A41,63,23,7,36.2,13.2,4,242,73,65,80,242,114,47.1,128,52.9,0,0,0,0,0,0,242,62,25.6,81,33.5,53,21.9,35,14.5,8,3.3,<5,-,242,140,57.9,12,5,50,20.7,20,8.3,13,5.4,<5,-,5,2.1
London,North West London Integrated Care System ,RYJ,Imperial College Healthcare NHS Trust,STM,"St Marys Hospital, Paddington",England,223,11,4.9,20,9,11,J44,E87,F03,9,<5,<5,81.8,-,-,20,J44,A41,Cod,15,<5,<5,75,-,-,217,168,77.4,49,22.6,217,112,51.6,105,48.4,57,J44,J18,I50,19,10,5,33.3,17.5,8.8,183,J44,J18,C34,65,28,6,35.5,15.3,3.3,223,72,64,79,223,113,50.7,110,49.3,0,0,0,0,0,0,223,84,37.7,78,35,38,17,18,8.1,5,2.2,0,0,223,131,58.7,18,8.1,53,23.8,9,4,8,3.6,<5,-,<5,-
London,North West London Integrated Care System ,R1K,London North West University Healthcare NHS Trust,EAL,Ealing Hospital,England,377,21,5.6,51,13.5,21,J44,C34,J18,14,<5,<5,66.7,-,-,51,J44,C34,I25,31,6,<5,60.8,11.8,-,359,255,71,104,29,359,170,47.4,189,52.6,137,J44,J18,J96,56,20,6,40.9,14.6,4.4,325,J44,J18,J96,119,54,13,36.6,16.6,4,377,75,65,82,377,197,52.3,180,47.7,0,0,0,0,0,0,377,94,24.9,145,38.5,99,26.3,23,6.1,11,2.9,5,1.3,377,237,62.9,32,8.5,65,17.2,25,6.6,10,2.7,<5,-,5,1.3
