region,ics,trust_code,trust_name,hosp_code,hosp_name,country,mortality_denom_N,died30_n,died30_perc,died90_n,died90_perc,died30hospcount_reason_N,COD30_diag_code_highest_diag_1,COD30_diag_code_highest_diag_2,COD30_diag_code_highest_diag_3,COD30diagcount_highest_diag_1,COD30diagcount_highest_diag_2,COD30diagcount_highest_diag_3,CODdiag30perc_highest_diag_1,CODdiag30perc_highest_diag_2,CODdiag30perc_highest_diag_3,died90hospcount_reason_N,COD90_diag_code_highest_diag_1,COD90_diag_code_highest_diag_2,COD90_diag_code_highest_diag_3,COD90diagcount_highest_diag_1,COD90diagcount_highest_diag_2,COD90diagcount_highest_diag_3,CODdiag90perc_highest_diag_1,CODdiag90perc_highest_diag_2,CODdiag90perc_highest_diag_3,readmitted30_N,readmitted30_No_n,readmitted30_No_perc,readmitted30_Yes_n,readmitted30_Yes_perc,readmitted90_N,readmitted90_No_n,readmitted90_No_perc,readmitted90_Yes_n,readmitted90_Yes_perc,read30hospcount_reason_N,readmiss30_diag_code_highest_diag_1,readmiss30_diag_code_highest_diag_2,readmiss30_diag_code_highest_diag_3,readmiss30diagcount_highest_diag_1,readmiss30diagcount_highest_diag_2,readmiss30diagcount_highest_diag_3,readmissdiag30perc_highest_diag_1,readmissdiag30perc_highest_diag_2,readmissdiag30perc_highest_diag_3,read90hospcount_reason_N,readmiss90_diag_code_highest_diag_1,readmiss90_diag_code_highest_diag_2,readmiss90_diag_code_highest_diag_3,readmiss90diagcount_highest_diag_1,readmiss90diagcount_highest_diag_2,readmiss90diagcount_highest_diag_3,readmissdiag90perc_highest_diag_1,readmissdiag90perc_highest_diag_2,readmissdiag90perc_highest_diag_3,age_N,age_median,age_lo.quart,age_hi.quart,gender_N,gender_Male_n,gender_Male_perc,gender_Female_n,gender_Female_perc,gender_Transgender_n,gender_Transgender_perc,gender_Other_n,gender_Other_perc,gender_Not_recorded/Preferred_not_to_say_n,gender_Not_recorded/Preferred_not_to_say_perc,IMD_quintile_all_N,IMD_quintile_all_1_n,IMD_quintile_all_1_perc,IMD_quintile_all_2_n,IMD_quintile_all_2_perc,IMD_quintile_all_3_n,IMD_quintile_all_3_perc,IMD_quintile_all_4_n,IMD_quintile_all_4_perc,IMD_quintile_all_5_n,IMD_quintile_all_5_perc,IMD_quintile_all_Missing_n,IMD_quintile_all_Missing_perc,CCIweightedcat_N,CCIweightedcat_0-1_n,CCIweightedcat_0-1_perc,CCIweightedcat_2_n,CCIweightedcat_2_perc,CCIweightedcat_3_n,CCIweightedcat_3_perc,CCIweightedcat_4_n,CCIweightedcat_4_perc,CCIweightedcat_5_n,CCIweightedcat_5_perc,CCIweightedcat_6_n,CCIweightedcat_6_perc,CCIweightedcat_7+_n,CCIweightedcat_7+_perc
London,North West London Integrated Care System ,R1K,London North West University Healthcare NHS Trust,NPH,Northwick Park Hospital,England,485,26,5.4,59,12.2,26,J44,I25,C34,14,<5,<5,53.8,-,-,59,J44,C34,I25,28,5,5,47.5,8.5,8.5,464,335,72.2,129,27.8,464,249,53.7,215,46.3,175,J44,J18,J47,67,17,8,38.3,9.7,4.6,409,J44,J18,I50,153,34,12,37.4,8.3,2.9,485,75,66,82,485,273,56.3,212,43.7,0,0,0,0,0,0,485,37,7.6,136,28,174,35.9,93,19.2,40,8.2,5,1,485,291,60,34,7,97,20,36,7.4,13,2.7,6,1.2,8,1.6
London,North West London Integrated Care System ,RAS,The Hillingdon Hospitals NHS Foundation Trust,HIL,Hillingdon Hospital,England,301,13,4.3,32,10.6,13,J44,C34,E66,9,<5,<5,69.2,-,-,32,J44,C34,C61,16,5,<5,50,15.6,-,295,218,73.9,77,26.1,295,143,48.5,152,51.5,91,J44,J18,J96,41,16,<5,45.1,17.6,-,251,J44,J18,J96,115,32,8,45.8,12.7,3.2,301,72,64,80,301,147,48.8,154,51.2,0,0,0,0,0,0,301,34,11.3,123,40.9,64,21.3,38,12.6,41,13.6,<5,-,301,216,71.8,18,6,45,15,8,2.7,10,3.3,0,0,<5,-
London,Our Healthier South East London ,RJ1,Guy's and St Thomas' NHS Foundation Trust,STH,St Thomas Hospital,England,481,21,4.4,37,7.7,21,J44,C34,I48,14,<5,<5,66.7,-,-,37,J44,C34,I48,27,<5,<5,73,-,-,463,318,68.7,145,31.3,463,232,50.1,231,49.9,194,J44,J18,C34,71,18,8,36.6,9.3,4.1,472,J44,J18,C34,154,43,20,32.6,9.1,4.2,481,72,64,80,481,247,51.4,234,48.6,0,0,0,0,0,0,481,122,25.4,261,54.3,65,13.5,14,2.9,6,1.2,13,2.7,481,248,51.6,41,8.5,96,20,33,6.9,32,6.7,18,3.7,13,2.7
London,Our Healthier South East London ,RJZ,King's College Hospital NHS Foundation Trust,KCH,King's College Hospital,England,192,<5,-,21,10.9,<5,J44,X42,NA,<5,<5,NA,-,-,NA,21,J44,C32,C34,12,<5,<5,57.1,-,-,190,132,69.5,58,30.5,190,95,50,95,50,80,J44,J18,J10,38,12,<5,47.5,15,-,200,J44,J18,E83,98,20,<5,49,10,-,192,72,63,79,192,93,48.4,99,51.6,0,0,0,0,0,0,192,56,29.2,82,42.7,38,19.8,11,5.7,0,0,5,2.6,192,129,67.2,18,9.4,28,14.6,8,4.2,6,3.1,<5,-,<5,-
London,Our Healthier South East London ,RJZ,King's College Hospital NHS Foundation Trust,BRO,Princess Royal University Hospital (Bromley),England,317,15,4.7,45,14.2,15,J44,C34,C67,8,<5,<5,53.3,-,-,45,J44,C34,I25,22,<5,<5,48.9,-,-,306,219,71.6,87,28.4,306,164,53.6,142,46.4,113,J44,J18,I50,35,16,12,31,14.2,10.6,265,J44,J18,I50,81,34,31,30.6,12.8,11.7,317,76,70,82,317,150,47.3,167,52.7,0,0,0,0,0,0,317,48,15.1,55,17.4,38,12,81,25.6,91,28.7,<5,-,317,183,57.7,28,8.8,65,20.5,23,7.3,9,2.8,5,1.6,<5,-
London,Our Healthier South East London ,,Lewisham and Greenwich NHS Trust,GWH,"Queen Elizabeth Hospital, Woolwich",England,80,5,6.2,10,12.5,5,J44,I80,J47,<5,<5,<5,-,-,-,10,J44,I25,I80,6,<5,<5,60,-,-,80,60,75,20,25,80,43,53.8,37,46.2,26,J44,J18,I48,17,<5,<5,65.4,-,-,61,J44,J18,A41,33,5,<5,54.1,8.2,-,80,73,68,79,80,26,32.5,54,67.5,0,0,0,0,0,0,80,8,10,23,28.7,16,20,18,22.5,12,15,<5,-,80,43,53.8,11,13.8,23,28.7,<5,-,0,0,<5,-,0,0
London,Our Healthier South East London ,RJ2,Lewisham and Greenwich NHS Trust,LEW,University Hospital Lewisham,England,229,10,4.4,22,9.6,10,J44,D68,E88,7,<5,<5,70,-,-,22,J44,C34,D68,10,<5,<5,45.5,-,-,227,166,73.1,61,26.9,227,121,53.3,106,46.7,81,J18,J44,C34,20,20,5,24.7,24.7,6.2,198,J44,J18,C34,74,33,16,37.4,16.7,8.1,229,72,65,78,229,113,49.3,116,50.7,0,0,0,0,0,0,229,67,29.3,78,34.1,46,20.1,16,7,<5,-,20,8.7,229,155,67.7,12,5.2,47,20.5,8,3.5,5,2.2,0,0,<5,-
London,South West London Health and Care Partnership ,RJ6,Croydon Health Services NHS Trust,CRY,Croydon University Hospital,England,367,29,7.9,45,12.3,29,J44,C26,C34,17,<5,<5,58.6,-,-,45,J44,C34,F03,24,<5,<5,53.3,-,-,353,259,73.4,94,26.6,353,190,53.8,163,46.2,120,J44,J18,A41,43,15,5,35.8,12.5,4.2,300,J44,J18,A41,105,31,13,35,10.3,4.3,367,74,64,81,367,197,53.7,170,46.3,0,0,0,0,0,0,367,101,27.5,129,35.1,66,18,40,10.9,25,6.8,6,1.6,367,231,62.9,31,8.4,66,18,18,4.9,16,4.4,<5,-,<5,-
London,South West London Health and Care Partnership ,RVR,Epsom and St Helier University Hospitals NHS Trust,EPS,Epsom Hospital,England,214,22,10.3,38,17.8,22,J44,J43,C34,11,<5,<5,50,-,-,38,J44,C34,J43,16,<5,<5,42.1,-,-,197,140,71.1,57,28.9,197,97,49.2,100,50.8,67,J44,J18,I50,25,6,<5,37.3,9,-,159,J44,J18,I50,50,18,5,31.4,11.3,3.1,214,77,71,84,214,102,47.7,112,52.3,0,0,0,0,0,0,214,0,0,28,13.1,15,7,53,24.8,112,52.3,6,2.8,214,123,57.5,18,8.4,46,21.5,15,7,8,3.7,0,0,<5,-
London,South West London Health and Care Partnership ,RAX,Kingston Hospital NHS Foundation Trust,KTH,Kingston Hospital,England,374,27,7.2,53,14.2,27,J44,J43,C20,18,<5,<5,66.7,-,-,53,J44,C34,I21,35,<5,<5,66,-,-,355,258,72.7,97,27.3,355,196,55.2,159,44.8,121,J44,J18,J69,38,27,<5,31.4,22.3,-,277,J44,J18,C82,90,51,10,32.5,18.4,3.6,374,74,65,81,374,169,45.2,205,54.8,0,0,0,0,0,0,374,6,1.6,67,17.9,82,21.9,109,29.1,106,28.3,<5,-,374,234,62.6,30,8,77,20.6,9,2.4,16,4.3,<5,-,7,1.9
London ,South West London Health and Care Partnership ,RVR,Epsom and St Helier University Hospitals NHS Trust,SHC,St Helier Hospital,England,244,17,7,35,14.3,17,J44,G20,I25,13,<5,<5,76.5,-,-,35,J44,I25,G20,26,<5,<5,74.3,-,-,235,163,69.4,72,30.6,235,122,51.9,113,48.1,91,J44,J18,Z09,37,12,<5,40.7,13.2,-,203,J44,J18,C34,77,21,12,37.9,10.3,5.9,244,73,65,79,244,101,41.4,143,58.6,0,0,0,0,0,0,244,19,7.8,64,26.2,40,16.4,65,26.6,52,21.3,<5,-,244,147,60.2,29,11.9,47,19.3,9,3.7,5,2,<5,-,<5,-
London ,South West London Health and Care Partnership ,RJ7,St George's University Hospitals NHS Foundation Trust,GEO,St George's Hospital,England,181,14,7.7,23,12.7,14,J44,C34,F03,12,<5,<5,85.7,-,-,23,J44,A49,C34,18,<5,<5,78.3,-,-,177,136,76.8,41,23.2,177,91,51.4,86,48.6,66,J44,J18,C34,17,10,7,25.8,15.2,10.6,187,J44,C34,J18,47,25,23,25.1,13.4,12.3,181,75,68,81,181,91,50.3,90,49.7,0,0,0,0,0,0,181,7,3.9,56,30.9,51,28.2,46,25.4,20,11,<5,-,181,109,60.2,7,3.9,47,26,9,5,6,3.3,<5,-,0,0
Midlands ,Coventry and Warwickshire Health and Care Partnership ,RLT,George Eliot Hospital NHS Trust,NUN,George Eliot Hospital,England,328,22,6.7,38,11.6,22,J44,C34,C45,14,<5,<5,63.6,-,-,38,J44,C34,C15,24,<5,<5,63.2,-,-,317,248,78.2,69,21.8,317,180,56.8,137,43.2,80,J44,J18,J96,30,5,<5,37.5,6.2,-,220,J44,J96,J18,93,14,12,42.3,6.4,5.5,328,73,67,78,328,165,50.3,163,49.7,0,0,0,0,0,0,328,89,27.1,85,25.9,87,26.5,45,13.7,19,5.8,<5,-,328,227,69.2,23,7,55,16.8,10,3,<5,-,<5,-,7,2.1
Midlands ,Coventry and Warwickshire Health and Care Partnership ,RKB,University Hospitals Coventry and Warwickshire NHS Trust,UHC,University Hospital Coventry,England,510,11,2.2,34,6.7,11,J44,A16,C34,7,<5,<5,63.6,-,-,34,J44,C34,A16,23,<5,<5,67.6,-,-,508,394,77.6,114,22.4,508,284,55.9,224,44.1,149,J44,J18,C50,67,15,5,45,10.1,3.4,405,J44,J18,R06,182,39,11,44.9,9.6,2.7,510,72,64,77,510,243,47.6,267,52.4,0,0,0,0,0,0,510,178,34.9,129,25.3,94,18.4,67,13.1,41,8,<5,-,510,331,64.9,33,6.5,97,19,28,5.5,12,2.4,<5,-,6,1.2
Midlands ,Herefordshire and Worcestershire Health and Care NHS Trust ,RWP,Worcestershire Acute Hospitals NHS Trust,WRC,Worcestershire Royal Hospital,England,741,43,5.8,94,12.7,43,J44,C34,I25,26,<5,<5,60.5,-,-,94,J44,C34,I25,58,7,<5,61.7,7.4,-,719,547,76.1,172,23.9,719,403,56.1,316,43.9,219,J44,J18,I50,93,36,5,42.5,16.4,2.3,522,J44,J18,H26,203,71,9,38.9,13.6,1.7,741,74,67,80,741,317,42.8,424,57.2,0,0,0,0,0,0,741,175,23.6,152,20.5,186,25.1,130,17.5,86,11.6,12,1.6,741,458,61.8,71,9.6,135,18.2,45,6.1,14,1.9,8,1.1,10,1.3
Midlands ,Herefordshire and Worcestershire Health and Care NHS Trust ,RLQ,Wye Valley NHS Trust,HCH,County Hospital Hereford,England,172,13,7.6,25,14.5,13,J44,C34,I21,9,<5,<5,69.2,-,-,25,J44,I25,C09,15,<5,<5,60,-,-,165,134,81.2,31,18.8,165,111,67.3,54,32.7,38,J44,J18,J13,16,<5,<5,42.1,-,-,91,J44,J18,D50,41,7,<5,45.1,7.7,-,172,74,66,79,172,82,47.7,90,52.3,0,0,0,0,0,0,172,23,13.4,45,26.2,69,40.1,30,17.4,<5,-,<5,-,172,100,58.1,11,6.4,31,18,10,5.8,14,8.1,<5,-,<5,-
Midlands ,Joined Up Care Derbyshire ,RFS,Chesterfield Royal Hospital NHS Foundation Trust,CHE,Chesterfield Royal Hospital,England,485,20,4.1,45,9.3,20,J44,C50,I25,12,<5,<5,60,-,-,45,J44,C34,I25,25,<5,<5,55.6,-,-,476,365,76.7,111,23.3,476,298,62.6,178,37.4,141,J44,J18,I50,49,23,<5,34.8,16.3,-,298,J44,J18,I50,101,44,10,33.9,14.8,3.4,485,73,67,80,485,192,39.6,293,60.4,0,0,0,0,0,0,485,145,29.9,134,27.6,89,18.4,66,13.6,43,8.9,8,1.6,485,269,55.5,53,10.9,86,17.7,42,8.7,20,4.1,8,1.6,7,1.4
Midlands ,Joined Up Care Derbyshire ,RTG,University Hospitals of Derby and Burton NHS Foundation Trust,BRT,Queens Hospital,England,461,40,8.7,71,15.4,40,J44,I21,C34,29,5,<5,72.5,12.5,-,71,J44,I21,C34,49,5,<5,69,7,-,436,312,71.6,124,28.4,436,236,54.1,200,45.9,155,J44,J18,J47,73,26,7,47.1,16.8,4.5,362,J44,J18,J47,154,59,7,42.5,16.3,1.9,461,73,67,80,461,215,46.6,246,53.4,0,0,0,0,0,0,461,79,17.1,108,23.4,94,20.4,107,23.2,70,15.2,<5,-,461,259,56.2,37,8,103,22.3,38,8.2,14,3,6,1.3,<5,-
Midlands ,Joined Up Care Derbyshire ,RTG,University Hospitals of Derby and Burton NHS Foundation Trust,DER,Royal Derby Hospital,England,1057,48,4.5,97,9.2,48,J44,C34,J18,31,<5,<5,64.6,-,-,97,J44,C34,I25,57,5,5,58.8,5.2,5.2,1036,767,74,269,26,1036,574,55.4,462,44.6,359,J44,J18,R69,145,53,15,40.4,14.8,4.2,866,J44,J18,R69,334,119,26,38.6,13.7,3,1057,73,65,79,1057,501,47.4,556,52.6,0,0,0,0,0,0,1057,358,33.9,200,18.9,207,19.6,155,14.7,123,11.6,14,1.3,1057,580,54.9,105,9.9,208,19.7,85,8,39,3.7,16,1.5,24,2.3
Midlands ,"Leicester, Leicestershire and Rutland ",RWE,University Hospitals of Leicester NHS Trust,GRL,Glenfield Hospital,England,1111,15,1.4,58,5.2,15,J44,C15,Cod,11,<5,<5,73.3,-,-,58,J44,C34,I25,31,6,<5,53.4,10.3,-,1111,872,78.5,239,21.5,1111,657,59.1,454,40.9,283,J44,J18,R07,118,56,8,41.7,19.8,2.8,760,J44,J18,R07,311,116,26,40.9,15.3,3.4,1111,71,63,78,1111,579,52.1,530,47.7,0,0,0,0,<5,-,1111,287,25.8,217,19.5,197,17.7,237,21.3,172,15.5,<5,-,1111,732,65.9,80,7.2,190,17.1,60,5.4,25,2.3,14,1.3,10,0.9
Midlands ,"Leicester, Leicestershire and Rutland ",RWE,University Hospitals of Leicester NHS Trust,LER,Leicester Royal Infirmary,England,125,12,9.6,23,18.4,12,J44,Cod,F03,8,<5,<5,66.7,-,-,23,J44,C34,I25,11,<5,<5,47.8,-,-,118,106,89.8,12,10.2,118,87,73.7,31,26.3,13,J44,L03,F03,7,<5,<5,53.8,-,-,48,J44,J18,L03,22,7,<5,45.8,14.6,-,125,81,74,87,125,60,48,65,52,0,0,0,0,0,0,125,28,22.4,18,14.4,23,18.4,36,28.8,20,16,0,0,125,47,37.6,5,4,40,32,19,15.2,9,7.2,5,4,0,0
Midlands ,Lincolnshire ,RWD,United Lincolnshire Hospitals NHS Trust,GRA,Grantham And District General Hospital,England,173,5,2.9,12,6.9,5,J44,I64,K63,<5,<5,<5,-,-,-,12,J44,I48,I50,6,<5,<5,50,-,-,171,133,77.8,38,22.2,171,110,64.3,61,35.7,46,J44,J18,A41,21,7,<5,45.7,15.2,-,107,J44,J18,A41,52,11,<5,48.6,10.3,-,173,72,65,78,173,82,47.4,91,52.6,0,0,0,0,0,0,173,12,6.9,47,27.2,38,22,46,26.6,28,16.2,<5,-,173,115,66.5,10,5.8,30,17.3,13,7.5,<5,-,<5,-,0,0
Midlands ,Lincolnshire ,RWD,United Lincolnshire Hospitals NHS Trust,LIN,Lincoln County Hospital,England,493,33,6.7,68,13.8,33,J44,C34,C61,24,<5,<5,72.7,-,-,68,J44,C34,C61,42,5,<5,61.8,7.4,-,478,374,78.2,104,21.8,478,292,61.1,186,38.9,123,J44,J18,N39,55,10,6,44.7,8.1,4.9,292,J44,J18,N39,137,23,8,46.9,7.9,2.7,493,73,66,79,493,241,48.9,252,51.1,0,0,0,0,0,0,493,123,24.9,95,19.3,114,23.1,93,18.9,67,13.6,<5,-,493,320,64.9,46,9.3,87,17.6,27,5.5,9,1.8,<5,-,<5,-
Midlands ,Lincolnshire ,RWD,United Lincolnshire Hospitals NHS Trust,PIL,Pilgrim Hospital,England,460,29,6.3,55,12,29,J44,C34,C61,17,<5,<5,58.6,-,-,55,J44,C34,C15,27,6,<5,49.1,10.9,-,443,349,78.8,94,21.2,443,275,62.1,168,37.9,122,J44,J18,A41,60,16,5,49.2,13.1,4.1,298,J44,J18,I50,136,35,10,45.6,11.7,3.4,460,73,67,80,460,229,49.8,230,50,0,0,0,0,<5,-,460,182,39.6,156,33.9,71,15.4,46,10,5,1.1,0,0,460,279,60.7,45,9.8,82,17.8,36,7.8,7,1.5,<5,-,7,1.5
Midlands ,Live Healthy Live Happy Birmingham and Solihull ,RRK,University Hospitals Birmingham NHS Foundation Trust,EBH,Birmingham Heartlands Hospital,England,474,20,4.2,43,9.1,20,J44,C34,Cod,14,<5,<5,70,-,-,43,J44,J47,C34,29,<5,<5,67.4,-,-,460,357,77.6,103,22.4,460,261,56.7,199,43.3,155,J44,N18,J18,45,27,14,29,17.4,9,443,J44,N18,J18,138,82,41,31.2,18.5,9.3,474,71,63,77,474,227,47.9,247,52.1,0,0,0,0,0,0,474,363,76.6,71,15,19,4,9,1.9,7,1.5,5,1.1,474,349,73.6,29,6.1,73,15.4,12,2.5,<5,-,<5,-,6,1.3
Midlands ,Live Healthy Live Happy Birmingham and Solihull ,RRK,University Hospitals Birmingham NHS Foundation Trust,GHS,Good Hope General Hospital,England,444,19,4.3,42,9.5,19,J44,G30,J18,15,<5,<5,78.9,-,-,42,J44,C34,C80,24,<5,<5,57.1,-,-,435,316,72.6,119,27.4,435,229,52.6,206,47.4,145,J44,J18,C18,62,28,<5,42.8,19.3,-,343,J44,J18,L03,142,52,15,41.4,15.2,4.4,444,74,67,79,444,209,47.1,235,52.9,0,0,0,0,0,0,444,187,42.1,99,22.3,60,13.5,49,11,48,10.8,<5,-,444,303,68.2,35,7.9,78,17.6,18,4.1,<5,-,<5,-,<5,-
Midlands ,Live Healthy Live Happy Birmingham and Solihull ,RRK,University Hospitals Birmingham NHS Foundation Trust,QEB,"Queen Elizabeth Hospital, Edgbaston",England,926,45,4.9,94,10.2,45,J44,C34,I21,23,7,<5,51.1,15.6,-,94,J44,C34,I25,51,9,9,54.3,9.6,9.6,906,676,74.6,230,25.4,906,510,56.3,396,43.7,276,J44,J18,R06,101,45,11,36.6,16.3,4,665,J44,J18,N18,277,76,22,41.7,11.4,3.3,926,73,65,80,926,449,48.5,475,51.3,0,0,0,0,<5,-,926,541,58.4,196,21.2,117,12.6,49,5.3,16,1.7,7,0.8,926,585,63.2,71,7.7,176,19,48,5.2,21,2.3,<5,-,21,2.3
Midlands ,Live Healthy Live Happy Birmingham and Solihull ,RRK,University Hospitals Birmingham NHS Foundation Trust,SOL,Solihull General Hospital,England,257,15,5.8,33,12.8,15,J44,C34,C80,10,<5,<5,66.7,-,-,33,J44,C34,C80,18,8,<5,54.5,24.2,-,248,188,75.8,60,24.2,248,133,53.6,115,46.4,71,J44,J18,E87,39,<5,<5,54.9,-,-,187,J44,J18,H35,76,17,5,40.6,9.1,2.7,257,75,67,81,257,115,44.7,142,55.3,0,0,0,0,0,0,257,96,37.4,37,14.4,56,21.8,27,10.5,39,15.2,<5,-,257,170,66.1,21,8.2,48,18.7,11,4.3,<5,-,<5,-,<5,-
Midlands ,Northamptonshire Health and Care ,RNQ,Kettering General Hospital NHS Foundation Trust,KGH,Kettering General Hospital,England,514,24,4.7,49,9.5,24,J44,C34,C90,13,<5,<5,54.2,-,-,49,J44,C34,F03,25,<5,<5,51,-,-,505,360,71.3,145,28.7,505,271,53.7,234,46.3,186,J44,J18,E87,103,22,<5,55.4,11.8,-,437,J44,J18,C90,221,45,10,50.6,10.3,2.3,514,73,66,80,514,217,42.2,297,57.8,0,0,0,0,0,0,514,117,22.8,156,30.4,105,20.4,82,16,50,9.7,<5,-,514,277,53.9,41,8,125,24.3,36,7,17,3.3,12,2.3,6,1.2
Midlands ,Northamptonshire Health and Care ,RNS,Northampton General Hospital NHS Trust,NTH,Northampton General Hospital,England,636,40,6.3,69,10.8,40,J44,C34,J18,24,<5,<5,60,-,-,69,J44,C34,I25,46,5,<5,66.7,7.2,-,606,434,71.6,172,28.4,606,297,49,309,51,215,J44,J18,I50,92,28,<5,42.8,13,-,565,J44,J18,R69,236,68,10,41.8,12,1.8,636,73,65,79,636,276,43.4,360,56.6,0,0,0,0,0,0,636,159,25,144,22.6,96,15.1,152,23.9,78,12.3,7,1.1,636,398,62.6,53,8.3,131,20.6,25,3.9,13,2,6,0.9,10,1.6
Midlands ,Nottingham and Nottinghamshire ,RX1,Nottingham University Hospitals NHS Trust,CHN,Nottingham City Hospital,England,1272,56,4.4,131,10.3,56,J44,J18,J84,45,<5,<5,80.4,-,-,131,J44,C34,J18,86,5,5,65.6,3.8,3.8,1235,893,72.3,342,27.7,1235,649,52.6,586,47.4,415,J44,J18,A41,169,48,13,40.7,11.6,3.1,1067,J44,J18,R06,420,115,30,39.4,10.8,2.8,1272,73,65,80,1272,587,46.1,680,53.5,0,0,0,0,5,0.4,1272,551,43.3,228,17.9,196,15.4,153,12,136,10.7,8,0.6,1272,825,64.9,117,9.2,210,16.5,61,4.8,33,2.6,10,0.8,16,1.3
Midlands ,Nottingham and Nottinghamshire ,RK5,Sherwood Forest Hospitals NHS Foundation Trust,KMH,Kings Mill Hospital,England,555,29,5.2,50,9,29,J44,D48,I25,23,<5,<5,79.3,-,-,50,J44,C34,I25,34,<5,<5,68,-,-,539,417,77.4,122,22.6,539,301,55.8,238,44.2,159,J44,J18,A41,61,21,10,38.4,13.2,6.3,401,J44,J18,J96,156,55,22,38.9,13.7,5.5,555,72,65,79,555,269,48.5,286,51.5,0,0,0,0,0,0,555,205,36.9,168,30.3,97,17.5,59,10.6,16,2.9,10,1.8,555,306,55.1,72,13,106,19.1,41,7.4,13,2.3,11,2,6,1.1
Midlands ,"Shrophire, Telford and Wrekin ",RXW,Shrewsbury and Telford Hospital NHS Trust,TLF,"Princess Royal Hospital, Telford",England,151,5,3.3,11,7.3,5,J44,C34,J84,<5,<5,<5,-,-,-,11,J44,C34,I35,7,<5,<5,63.6,-,-,150,113,75.3,37,24.7,150,86,57.3,64,42.7,42,J44,J18,J96,24,<5,<5,57.1,-,-,97,J44,J96,J18,49,11,9,50.5,11.3,9.3,151,72,66,80,151,74,49,77,51,0,0,0,0,0,0,151,54,35.8,46,30.5,27,17.9,17,11.3,6,4,<5,-,151,87,57.6,21,13.9,29,19.2,<5,-,6,4,<5,-,<5,-
Midlands ,The Black Country ,RXK,Sandwell and West Birmingham Hospitals NHS Trust,DUD,Birmingham City Hospital,England,411,24,5.8,49,11.9,24,J44,J47,J18,20,<5,<5,83.3,-,-,49,J44,I25,U07,32,<5,<5,65.3,-,-,403,305,75.7,98,24.3,403,241,59.8,162,40.2,119,J44,J18,I50,57,21,<5,47.9,17.6,-,289,J44,J18,J47,132,41,14,45.7,14.2,4.8,411,72,65,80,411,216,52.6,194,47.2,0,0,0,0,<5,-,411,294,71.5,77,18.7,31,7.5,<5,-,0,0,6,1.5,411,266,64.7,43,10.5,67,16.3,21,5.1,7,1.7,5,1.2,<5,-
Midlands ,The Black Country ,RXK,Sandwell and West Birmingham Hospitals NHS Trust,SAN,Sandwell District Hospital,England,553,27,4.9,62,11.2,27,J44,J18,C34,21,<5,<5,77.8,-,-,62,J44,C34,J18,41,<5,<5,66.1,-,-,541,423,78.2,118,21.8,541,306,56.6,235,43.4,144,J44,J18,I48,58,21,5,40.3,14.6,3.5,377,J44,J18,R06,138,60,10,36.6,15.9,2.7,553,72,65,79,553,243,43.9,309,55.9,0,0,<5,-,0,0,553,392,70.9,85,15.4,63,11.4,7,1.3,<5,-,5,0.9,553,358,64.7,42,7.6,109,19.7,23,4.2,13,2.4,7,1.3,<5,-
Midlands ,The Black Country ,RNA,The Dudley Group NHS Foundation Trust,RUS,Russells Hall Hospital,England,439,9,2.1,19,4.3,9,J44,C34,A41,6,<5,<5,66.7,-,-,19,J44,C34,A41,11,<5,<5,57.9,-,-,436,382,87.6,54,12.4,436,309,70.9,127,29.1,63,J44,J18,I48,31,10,<5,49.2,15.9,-,206,J44,J18,C34,107,26,6,51.9,12.6,2.9,439,73,65,79,439,211,48.1,228,51.9,0,0,0,0,0,0,439,175,39.9,116,26.4,62,14.1,56,12.8,28,6.4,<5,-,439,295,67.2,45,10.3,64,14.6,22,5,6,1.4,5,1.1,<5,-
Midlands ,The Black Country ,RL4,The Royal Wolverhampton NHS Trust,NCR,New Cross Hospital,England,463,32,6.9,67,14.5,32,J44,C34,C80,20,<5,<5,62.5,-,-,67,J44,I25,C34,35,6,<5,52.2,9,-,453,341,75.3,112,24.7,453,260,57.4,193,42.6,135,J44,J18,C34,63,17,6,46.7,12.6,4.4,316,J44,J18,C34,126,39,17,39.9,12.3,5.4,463,73,66,80,463,220,47.5,243,52.5,0,0,0,0,0,0,463,233,50.3,114,24.6,52,11.2,44,9.5,15,3.2,5,1.1,463,280,60.5,39,8.4,81,17.5,30,6.5,21,4.5,<5,-,8,1.7
Midlands ,The Black Country ,RBK,Walsall Healthcare NHS Trust,WMH,Manor Hospital,England,900,77,8.6,143,15.9,77,J44,C34,J47,49,8,<5,63.6,10.4,-,143,J44,C34,J47,81,17,6,56.6,11.9,4.2,864,650,75.2,214,24.8,864,507,58.7,357,41.3,262,J44,J18,I50,95,37,6,36.3,14.1,2.3,618,J44,J18,C18,209,87,21,33.8,14.1,3.4,900,73,65,80,900,431,47.9,468,52,0,0,0,0,<5,-,900,532,59.1,168,18.7,71,7.9,78,8.7,38,4.2,13,1.4,900,544,60.4,77,8.6,185,20.6,45,5,21,2.3,8,0.9,20,2.2
